timestamp,open,high,low,close,volume
2023-10-30 22:00:00,149.063,149.111,149.036,149.05,724
2023-10-30 23:00:00,149.045,149.095,149.013,149.061,1644
2023-10-31 00:00:00,149.018,149.123,149.014,149.115,752
2023-10-31 01:00:00,149.115,149.155,149.078,149.09,596
2023-10-31 02:00:00,149.09,149.447,149.088,149.413,2806
2023-10-31 03:00:00,149.414,149.528,149.365,149.449,2758
2023-10-31 04:00:00,149.45,149.555,149.411,149.444,4623
2023-10-31 05:00:00,149.443,150.106,149.327,149.894,15592
2023-10-31 06:00:00,149.895,150.179,149.856,150.143,4801
2023-10-31 07:00:00,150.143,150.238,150.094,150.225,3207
2023-10-31 08:00:00,150.225,150.313,150.134,150.201,5794
2023-10-31 09:00:00,150.201,150.307,150.068,150.278,6831
2023-10-31 10:00:00,150.278,150.44,150.227,150.404,8277
2023-10-31 11:00:00,150.404,150.724,150.06,150.686,9698
2023-10-31 12:00:00,150.686,150.755,150.558,150.682,6356
2023-10-31 13:00:00,150.68,150.772,150.635,150.734,3502
2023-10-31 14:00:00,150.733,150.946,150.633,150.931,8854
2023-10-31 15:00:00,150.932,150.987,150.813,150.983,8398
2023-10-31 16:00:00,150.984,151.331,150.877,151.257,8023
2023-10-31 17:00:00,151.257,151.556,151.204,151.454,7817
2023-10-31 18:00:00,151.453,151.702,151.33,151.7,4504
2023-10-31 19:00:00,151.7,151.706,151.051,151.506,6867
2023-10-31 20:00:00,151.506,151.61,151.453,151.585,1784
2023-10-31 21:00:00,151.585,151.598,151.505,151.573,1401
2023-10-31 22:00:00,151.572,151.706,151.547,151.622,1438
2023-10-31 23:00:00,151.575,151.674,151.495,151.618,1953
2023-11-01 00:00:00,151.604,151.624,151.348,151.395,1392
2023-11-01 01:00:00,151.4,151.476,151.147,151.315,2749
2023-11-01 02:00:00,151.313,151.441,151.231,151.365,3298
2023-11-01 03:00:00,151.363,151.43,151.247,151.334,2304
2023-11-01 04:00:00,151.336,151.344,151.162,151.217,1835
2023-11-01 05:00:00,151.218,151.252,151.139,151.24,2025
